	Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
149	GO_Biological_Process_2023	Choline Metabolic Process (GO:0019695)	1/5	0.0156525100040084	0.0636398104110342	0	0	80.375	334.1288407937727	BCHE
150	GO_Biological_Process_2023	Positive Regulation Of Endothelial Cell Development (GO:1901552)	1/5	0.0156525100040084	0.0636398104110342	0	0	80.375	334.1288407937727	PROC
151	GO_Biological_Process_2023	Positive Regulation Of Establishment Of Endothelial Barrier (GO:1903142)	1/5	0.0156525100040084	0.0636398104110342	0	0	80.375	334.1288407937727	PROC
152	GO_Biological_Process_2023	Extracellular Matrix Organization (GO:0030198)	3/176	0.0180888595033087	0.0730648050525803	0	0	5.7121387283236995	22.919722605430714	GSN;ADAMTS13;PLG
153	GO_Biological_Process_2023	Regulation Of Cellular Response To Insulin Stimulus (GO:1900076)	1/6	0.0187539657915919	0.0733541193620493	0	0	64.29677419354839	255.6664806393233	GPLD1
154	GO_Biological_Process_2023	Regulation Of Collagen Fibril Organization (GO:1904026)	1/6	0.0187539657915919	0.0733541193620493	0	0	64.29677419354839	255.6664806393233	TNXB
155	GO_Biological_Process_2023	Cytolysis By Host Of Symbiont Cells (GO:0051838)	1/6	0.0187539657915919	0.0733541193620493	0	0	64.29677419354839	255.6664806393233	F2
156	GO_Biological_Process_2023	Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Signaling Pathway (GO:2001269)	1/6	0.0187539657915919	0.0733541193620493	0	0	64.29677419354839	255.6664806393233	GSN
157	GO_Biological_Process_2023	Elastic Fiber Assembly (GO:0048251)	1/6	0.0187539657915919	0.0733541193620493	0	0	64.29677419354839	255.6664806393233	TNXB
158	GO_Biological_Process_2023	Protein-Containing Complex Assembly (GO:0065003)	4/328	0.0198362999073536	0.0768034165235999	0	0	4.103996652019251	16.088658775475984	APCS;FN1;APOA4;CLU
159	GO_Biological_Process_2023	Cellular Response To Calcium Ion (GO:0071277)	2/69	0.0200086570555009	0.0768034165235999	0	0	9.72351357964277	38.03440087796273	CLU;GPLD1
160	GO_Biological_Process_2023	Phospholipid Metabolic Process (GO:0006644)	2/69	0.0200086570555009	0.0768034165235999	0	0	9.72351357964277	38.03440087796273	APOA2;LCAT
161	GO_Biological_Process_2023	Regulation Of Hydrolase Activity (GO:0051336)	2/71	0.0211093485600435	0.0780387734160457	0	0	9.440722261819907	36.422677288446856	APOA1;SERPINA5
162	GO_Biological_Process_2023	Positive Regulation Of Cell-Substrate Adhesion (GO:0010811)	2/71	0.0211093485600435	0.0780387734160457	0	0	9.440722261819907	36.422677288446856	FN1;APOA1
163	GO_Biological_Process_2023	Negative Regulation Of Cell Adhesion (GO:0007162)	2/72	0.0216689985294522	0.0780387734160457	0	0	9.305386416861827	35.65705597932898	PLG;KNG1
164	GO_Biological_Process_2023	Thyroid Hormone Transport (GO:0070327)	1/7	0.0218458055031972	0.0780387734160457	0	0	53.57795698924731	204.86851713978825	SERPINA7
165	GO_Biological_Process_2023	Aromatic Compound Catabolic Process (GO:0019439)	1/7	0.0218458055031972	0.0780387734160457	0	0	53.57795698924731	204.86851713978825	PON1
